Chapter,Verse,Text_V1,Text_V2,Cambios_v1,Cambios_v2
1.0,1.0,"Bien aventurado el varón que no anduvo en consejo de malos, y en carrera de los pecadores no estuvo, y en asiento de escarnidores no se asentó.","Byenaventurado el varon que no anduvo en consejo de malos, y en carrera de pecadores no estuvo: y en assiento de escarnidores no se assento.","Bien | aventurado ⚠️ | varón ⚠️ | los | estuvo, ⚠️ | asiento ⚠️ | asentó. ⚠️",Byenaventurado ⚠️ | varon ⚠️ | estuvo: ⚠️ | assiento ⚠️ | assento. ⚠️
1.0,2.0," Mas sólo en ley de Adonay su voluntad, y en su ley fablará de día y de noche.",Mas solo en ley de .A. su voluntad: y en su lei pensara dia y noche. ,"sólo ⚠️ | Adonay | voluntad, ⚠️ | ley | fablará | de | día | de",solo ⚠️ | voluntad: ⚠️ | .A. | lei | pensara | dia
1.0,3.0,"Y será como árbol plantado sobre piélagos de aguas, que su fruta da en su hora, y su hoja no cae, y todo lo que faze fará prosperar.","Y sera como arbol plantado cerca pielagos de aguas: que su fruto daa en hora, y su hoja no caera: y todo lo que fara, fara prosperar. ","será ⚠️ | árbol ⚠️ | sobre | piélagos ⚠️ | aguas, ⚠️ | fruta ⚠️ | da ⚠️ | su | cae, | faze | fará ⚠️","sera ⚠️ | arbol ⚠️ | pielagos ⚠️ | aguas: ⚠️ | fruto ⚠️ | daa ⚠️ | fara ⚠️ | cerca | caera: | fara,"
1.0,4.0," No assí los malos, sino como tamo que lo empuxa viento.",No assi los malos: sino como tamo que lo empuxa viento.,"assí ⚠️ | malos, ⚠️",assi ⚠️ | malos: ⚠️
1.0,5.0," Por tanto, no se alevantarán malos en juizio, ni pecadores en compaña de justos.",Por tanto no se alevantaran malos en juyzio: ni pecadores en compaña de justos.,"tanto, ⚠️ | alevantarán ⚠️ | juizio, ⚠️",tanto ⚠️ | alevantaran ⚠️ | juyzio: ⚠️
1.0,6.0," Porque sabe Adonay carrera de justos, y carrera de malos se perderá.",Porque sabe .A. carrera de justos: y carrera de malos perescera.,"Adonay | justos, ⚠️ | se | perderá.",justos: ⚠️ | .A. | perescera.
2.0,1.0," ¿Por qué se congregarán gentes, y pueblos fablarán vanidad?",Por que se congregaran gentes: y pueblos pensaran vanidad. ,"¿Por ⚠️ | qué | congregarán ⚠️ | gentes, ⚠️ | fablarán | vanidad? ⚠️",Por ⚠️ | congregaran ⚠️ | gentes: ⚠️ | vanidad. ⚠️ | que | pensaran
2.0,2.0," Estarán reyes de tierra, y señores se aconsejarán a una sobre Adonay, y sobre su ungido:","Estarsean reyes de tierra, y señores se aconsejaran a una: contra .A. y contra su ungido.","Estarán ⚠️ | aconsejarán ⚠️ | una ⚠️ | sobre | Adonay, | sobre | ungido: ⚠️",Estarsean ⚠️ | aconsejaran ⚠️ | una: ⚠️ | ungido. ⚠️ | contra | .A. | contra
2.0,3.0," Arranquemos sus atamientos, y echemos de nos sus cuerdas.",Arranquemos sus atamientos: y echemos de nos sus cuerdas. ,"atamientos, ⚠️",atamientos: ⚠️
2.0,4.0," Están en los cielos reirá, Adonay escarnecerá dellos.",Morante en los cielos reyra: .A. escarnecera dellos. ,"Están | reirá, | Adonay | escarnecerá ⚠️",escarnecera ⚠️ | Morante | reyra: | .A.
2.0,5.0," Entonces fablará a ellos con su furor, y con su yra los turbará.","Entonces fablara a ellos en su furor, y en su yra los turbara. ",fablará ⚠️ | con | con | turbará. ⚠️,fablara ⚠️ | turbara. ⚠️ | en | en
2.0,6.0," Y yo enseñoré mi rey sobre Zion, monte de mi santidad.","Yo enseñoree mi rey, sobre Cion monte de mi santidad. ","Y | yo | enseñoré ⚠️ | rey ⚠️ | Zion,","enseñoree ⚠️ | rey, ⚠️ | Yo | Cion"
2.0,7.0," Contaré a fuero, Adonay dixo a mí: mi hijo tú, yo oy te engendré.","Recontare a fuero .A. dixo a mi, mi hijo tu, yo hoy te engendre. ","Contaré | fuero, ⚠️ | Adonay | mí: | tú, | oy ⚠️ | engendré. ⚠️","fuero ⚠️ | hoy ⚠️ | engendre. ⚠️ | Recontare | .A. | mi, | tu,"
2.0,8.0," Demanda de mí, y daré gentes tu heredad, y tu possesión atemos de tierra.","Demanda de mi, y dare gentes tu heredad: y tu possesion atemos de tierra. ","mí, | daré ⚠️ | heredad, ⚠️ | possesión ⚠️","dare ⚠️ | heredad: ⚠️ | possesion ⚠️ | mi,"
2.0,9.0," Quebrantarlos as con verdugo de fierro, como vaso de ollero los desmenuzarás.",Quebrantarlosas con verdugo de fierro: como vaso de olhero los desmenuzaras.,"Quebrantarlos ⚠️ | as | fierro, ⚠️ | ollero ⚠️ | desmenuzarás. ⚠️",Quebrantarlosas ⚠️ | fierro: ⚠️ | olhero ⚠️ | desmenuzaras. ⚠️
2.0,10.0," Y agora, reyes, entended; castigadvos, juezes de tierra.",Y agora reyes entended: sed castigados juezes de tierra. ,"agora, ⚠️ | reyes, ⚠️ | entended; ⚠️ | castigadvos, ⚠️",agora ⚠️ | reyes ⚠️ | entended: ⚠️ | castigados ⚠️ | sed
2.0,11.0," Servid Adonay con temor, y agradadvos con tiembla.",Servid .A. con temor: y agra dadvos con temblor. ,"Adonay | temor, ⚠️ | agradadvos ⚠️ | tiembla. ⚠️",temor: ⚠️ | dadvos ⚠️ | temblor. ⚠️ | .A. | agra
2.0,12.0," Besad hijo, porque no se ensañe, y deperdades carrera, porque encenderá como poco su furor. Bien aventurados todos enfiuzantes en él.","Besad al hijo, porque no se ensañe y vos deperdades de car rera: porque encendera como poco su furor: bien aventurados todos enfiuzantes en el.","ensañe, ⚠️ | carrera, | encenderá ⚠️ | furor. ⚠️ | Bien ⚠️ | él.",ensañe ⚠️ | encendera ⚠️ | furor: ⚠️ | bien ⚠️ | al | vos | de | car | rera: | el.
3.0,1.0," Psalmo a David, en su fuir delante Absalon su hijo.",Psalmo de David: en su fuyr delante Absalon su hijo.,"a | David, ⚠️ | fuir ⚠️",David: ⚠️ | fuyr ⚠️ | de
3.0,2.0," Adonay, quánto se amuchiguaron mis angustiadores, muchos alevantantes sobre mí.",.A. quanto se muchiguaron mis angustiadores: muchos alevantes contra mi.,"Adonay, | quánto ⚠️ | amuchiguaron ⚠️ | angustiadores, ⚠️ | alevantantes ⚠️ | sobre | mí.",quanto ⚠️ | muchiguaron ⚠️ | angustiadores: ⚠️ | alevantes ⚠️ | .A. | contra | mi.
3.0,3.0, Muchos dizientes por mi alma: no salvación a él en el Dio. Selah.,Muchos dizientes por mi alma no salvacion a el en el ..D.: סלה.,alma: ⚠️ | salvación ⚠️ | él | Dio. | Selah.,alma ⚠️ | salvacion ⚠️ | el | ..D.: | סלה.
3.0,4.0," Y tú, Adonay, amparo por mí; mi honra, y enaltecién mi cabeça.",Y tu .A. amparo por mi: mi honra y enalticiente mi cabeça.,"tú, | Adonay, | mí; | honra, ⚠️ | enaltecién ⚠️",honra ⚠️ | enalticiente ⚠️ | tu | .A. | mi:
